Project 1,,,,
initials,date,course_id,Time(m),summary
JC,1/8/24,Acct-215-01,75,class
JC,1/8/24,Acct-441-01,75,class
JC,1/8/24,Spor-101-01,75,class
JC,1/9/24,DS-160-01,75,class and assignment
JC,1/9/24,MKTG-330-01,75,class
JC,1/10/24,Acct-215-01,75,class
JC,1/10/24,Acct-441-01,75,class
JC,1/10/24,Spor-101-01,75,class and assignment
JC,1/11/24,DS-160-01,75,class and assignment
JC,1/11/24,MKTG-330-01,75,class
JC,1/12/24,Acct-215-01,75,class
JC,1/12/24,Acct-441-01,75,class
JC,1/12/24,Spor-101-01,75,class
JC,1/15/24,Acct-215-01,75,class
JC,1/15/24,Acct-441-01,75,class
JC,1/15/24,Spor-101-01,75,class and assignment
JC,1/16/24,DS-160-01,75,class and statistics assignment
JC,1/16/24,MKTG-330-01,75,class
JC,1/17/24,DS-160-01,75,class and statistics assigment
JC,1/17/24,MKTG-330-01,90,quiz 1 and class
JC,1/19/24,none,0,classes canceled
,,,,
,,,,
