initials,date,course_id,Time(m),summary
JC,1/8/24,Acct-215,50,class
JC,1/8/24,Acct-441,75,class
JC,1/8/24,Spor-101,50,class
JC,1/9/24,DS-160,75,class and assignment
JC,1/9/24,MKTG-330,75,class
JC,1/10/24,Acct-215,50,class
JC,1/10/24,Acct-441,75,class
JC,1/10/24,Spor-101,75,class and assignment
JC,1/11/24,DS-160,75,class and assignment
JC,1/11/24,MKTG-330,75,class
JC,1/12/24,Acct-215,50,class
JC,1/12/24,Acct-441,75,class
JC,1/12/24,Spor-101,50,class
JC,1/15/24,Acct-215,50,class
JC,1/15/24,Acct-441,75,class
JC,1/15/24,Spor-101,75,class and assignment
JC,1/16/24,DS-160,75,class and statistics assignment
JC,1/16/24,MKTG-330,75,class
JC,1/17/24,DS-160,75,class and statistics assigment
JC,1/17/24,MKTG-330,90,quiz 1 and class
JC,1/19/24,Acct-441,30,read al capone case study
JC,1/22/24,Spor-101,50,class
JC,1/22/24,Spor-101,30,SWAT analysis assignment 2
JC,1/22/24,Acct-215,50,class
JC,1/22/24,Acct-441,90,class and discussion of al capone case presentation
JC,1/23/24,DS-160,75,Class Pandas
JC,1/23/24,MKTG-330,75,class
JC,1/24/24,Acct-441,60,Practice testifying in al capone case
JC,1/24/24,Spor-101,50,guest speaker
JC,1/24/24,Acct-215,50,class
JC,1/25/24,DS-160,50,Pandas in class work
JC,1/25/24,MKTG-330,50,class and SEO work
JC,1/26/24,Spor-101,50,class and deflate gate essay
JC,1/26/24,Acct-215,50,class review for test Monday
JC,1/27/24,Acct-215,120,studying for test 1
JC,1/29/24,Acct-215,30,test
JC,1/29/24,Acct-441,75,class
JC,1/30/24,DS-160,90,class and Pandas practice NB
JC,1/30/24,MKTG-330,120,class and SEO certification studying
JC,1/31/24,Acct-441,65,class and interogation discussion
JC,1/31/24,Spor-101,50,class and Kahoot chapter 5
JC,1/31/24,Acct-215,50,class
JC,2/1/24,DS-160,50,class and Matplotlib
JC,2/1/24,MKTG-330,95,class and SEO certification test
JC,2/4/24,Spor-101,45,Answering questions for case 1
JC,2/5/24,MKTG-330,45,Building a Proffessional Linkedin account
JC,2/5/24,Acct-441,75,class
JC,2/6/24,Spor-101,50,class
JC,2/6/24,Acct-215,50,class
JC,2/7/24,MKTG-330,10,quiz 3
JC,2/7/24,Spor-101,60,Sepcial assignment 1 case study
JC,2/8/24,Acct-215,60,chapter 4 homework
JC,2/12/24,Acct-441,75,interogation discussion and case review
JC,2/12/24,Acct-215,50,Class chapter 5
